train_acc,train_loss,val_acc,val_loss
0.034842105263157896,4.360997,0.0708,4.016111
0.08138947368421054,3.9349551,0.1004,3.764668
0.12037894736842107,3.6977785,0.14239999999999997,3.5778196
0.1558736842105263,3.4879313,0.1844,3.3762753
0.1917894736842105,3.2996705,0.21520000000000003,3.1966443
0.21618947368421054,3.1578526,0.226,3.1463041
0.23757894736842108,3.048161,0.24559999999999998,2.9920917
0.25960000000000005,2.9447696,0.2644,2.969396
0.275621052631579,2.8610704,0.27640000000000003,2.915904
0.2893894736842105,2.7912545,0.28320000000000006,2.9373667
0.3043368421052632,2.7141337,0.3036,2.7508996
0.31501052631578946,2.663838,0.316,2.664229
0.32707368421052635,2.6051455,0.3176,2.6670246
0.3381684210526316,2.5493436,0.3384,2.6214232
0.345578947368421,2.5108194,0.3368,2.5830045
0.35267368421052636,2.480304,0.3268,2.593835
0.3615368421052632,2.4315689,0.35120000000000007,2.4768078
0.3690526315789474,2.3972034,0.3552,2.4972296
0.3760210526315789,2.3679154,0.35760000000000003,2.4894865
0.38185263157894733,2.3362536,0.3648,2.5030367
0.3858947368421053,2.3091607,0.37,2.4380255
0.39311578947368425,2.2824597,0.37520000000000003,2.4274924
0.4012,2.2510638,0.396,2.325193
0.40397894736842105,2.2341478,0.384,2.3952649
0.4128421052631579,2.207448,0.3876,2.3536248
0.4152842105263158,2.1856313,0.3927999999999999,2.3354461
0.42061052631578943,2.163936,0.38160000000000005,2.357815
0.42557894736842106,2.1441243,0.3963999999999999,2.2813978
0.4290315789473685,2.123964,0.40399999999999997,2.2651217
0.43357894736842106,2.10324,0.4176,2.2301748
0.4362947368421053,2.092355,0.414,2.2440236
0.4392842105263158,2.0775442,0.414,2.2589347
0.44391578947368426,2.0613763,0.4096,2.2623186
0.4473473684210527,2.0402179,0.4292,2.1899467
0.4511157894736842,2.0290127,0.424,2.2552457
0.45400000000000007,2.0045137,0.4296,2.1924613
0.45583157894736837,1.9952991,0.4336,2.1691914
0.46069473684210527,1.982029,0.4224,2.1752086
0.4633894736842106,1.9664965,0.4292,2.175197
0.46275789473684203,1.9609064,0.434,2.1353002
0.4718736842105263,1.939598,0.44160000000000005,2.1401587
0.47229473684210527,1.9348536,0.43560000000000004,2.1485941
0.4750947368421053,1.9205148,0.436,2.1671107
0.47749473684210525,1.9055693,0.4428,2.1354785
0.4791789473684211,1.8980081,0.4472,2.146733
0.48587368421052635,1.874401,0.4404,2.1498165
0.4843368421052632,1.8755158,0.4424,2.1228952
0.4868631578947369,1.8679762,0.4448,2.111076
0.48736842105263156,1.8588763,0.4524,2.071146
0.49303157894736843,1.8415813,0.44920000000000004,2.1085627
0.4945052631578947,1.8379158,0.45039999999999997,2.0910335
0.49551578947368424,1.826662,0.45399999999999996,2.0697794
0.4967157894736842,1.8206155,0.44359999999999994,2.1012201
0.5006947368421053,1.8084077,0.4572,2.0845797
0.5026526315789475,1.7988528,0.4608,2.0389025
0.5030947368421053,1.7973253,0.44919999999999993,2.0875552
0.5057684210526316,1.7841437,0.45919999999999994,2.0761023
0.5090947368421053,1.7748142,0.47240000000000004,2.0219107
0.5108,1.7699662,0.46399999999999997,2.0582867
0.512378947368421,1.7606578,0.46879999999999994,2.0192628
0.5135578947368421,1.752949,0.45599999999999996,2.0650358
0.5144631578947368,1.7469356,0.468,2.0250487
0.5153263157894736,1.7402692,0.4584,2.0280802
0.5166105263157894,1.7316357,0.4612,2.0321953
0.5209473684210527,1.7231078,0.4664,2.010222
0.5221052631578947,1.7213346,0.47240000000000004,1.9815836
0.5247578947368421,1.7116517,0.4628,2.001435
0.5249684210526316,1.7102058,0.4732,1.9867841
0.5250526315789473,1.7019914,0.4632,2.0261848
0.5264631578947369,1.6984499,0.47679999999999995,1.9909438
0.5295578947368421,1.6905406,0.4764,1.9857727
0.5280631578947369,1.6907794,0.4752,1.994141
0.5306526315789473,1.6842245,0.4764,1.9743472
0.5291789473684211,1.6785296,0.472,1.9699038
0.5307368421052632,1.6781671,0.4764,1.9918263
0.5326315789473685,1.6705937,0.4772,1.9721295
0.5338736842105263,1.6662621,0.48040000000000005,1.9784665
0.5345473684210525,1.6559433,0.4772,1.9784681
0.5329263157894738,1.6564679,0.48039999999999994,1.9616283
0.5390736842105264,1.6499882,0.4864,1.9742001
0.536778947368421,1.6478152,0.48,1.9653653
0.5382105263157895,1.6463052,0.47440000000000004,1.9741484
0.5422315789473684,1.6374562,0.48639999999999994,1.9535735
0.5399157894736841,1.6382563,0.48119999999999996,1.9525903
0.5411789473684211,1.6375607,0.4824,1.9625344
0.5411157894736841,1.6364769,0.4828,1.9556558
0.5418947368421052,1.6297461,0.48,1.9537104
0.5423578947368421,1.6272916,0.48719999999999997,1.9569993
0.5418947368421053,1.6305741,0.4808,1.953344
0.5449052631578948,1.6246766,0.48760000000000003,1.9484042
0.5449473684210526,1.620772,0.4835999999999999,1.9646657
0.5449263157894736,1.6153834,0.4843999999999999,1.9519838
0.5443789473684211,1.6161822,0.48399999999999993,1.9575288
0.546,1.6152744,0.4816,1.9513803
0.5452631578947369,1.6181065,0.48440000000000005,1.9514519
0.5487368421052631,1.6124313,0.486,1.9485409
0.5439578947368421,1.6146237,0.4844,1.9500258
0.5472842105263157,1.6092,0.4816,1.9511156
0.5474947368421054,1.6098138,0.4824,1.9520824
0.547178947368421,1.6106253,0.48200000000000004,1.9556912
